Jacksonville,907529.00,119008.00,jacksonville.json,yes
San Francisco,888653.00,111968.00,san_francisco.json,yes
Charlotte,873363.00,177415.00,charlotte.json,yes
Indianopolis,860902.00,153353016.00,indianapolis.json,no
Seattle,746046.00,237385.00,seattle.json,yes
Denver,719116.00,253750.00,denver.json,yes
Washington DC,702756.00,5396194.00,washington_dc.json,yes
El Paso,692100.00,113919.00,el_paso.json,yes
Boston,687584.00,2315704.00,boston.json,yes
Nashville,673008.00,197472.00,nashville.json,yes
Detroit,665713.00,134591.00,detroit.json,yes
Portland,658347.00,186579.00,portland.json,yes
Oklahoma City,653865.00,185048.00,oklahoma_city.json,yes
Las Vegas,653840.00,170117.00,las_vegas.json,yes
Memphis,649243.00,197239.00,memphis.json,yes
Louisville,619287.00,1804307.00,louisville.json,yes
Miami,479009.00,1216769.00,miami.json,yes
Cincinnati,299238.00,183453.00,cincinnati.json,yes
Orlando,297243.00,1128379.00,orlando.json,yes
Irvine,297019.00,114485.00,irvine.json,yes
Plano,294478.00,6575893.00,plano.json,yes
Greensboro,292265.00,180261.00,greensboro.json,yes
Lincoln,291623.00,169588.00,lincoln.json,yes
Newark,283756.00,170486.00,newark.json,yes
Durham,279501.00,2528696.00,durham.json,yes
Toledo,275004.00,182514.00,toledo.json,yes
St. Petersburg,273968.00,118894.00,st_petersburg_2.json,yes
Chula Vista,273565.00,111848.00,chula_vista.json,yes
Fort Wayne,269534.00,127309.00,fort_wayne.json,yes
Scottsdale,266961.00,110826.00,scottsdale.json,yes
Jersey City,265004.00,170953.00,jersey_city.json,yes
Laredo,264473.00,113253.00,laredo.json,yes
Madison,264365.00,3352040.00,madison.json,yes
Lubbock,264029.00,115401.00,lubbock.json,yes
Reno,259019.00,170120.00,reno.json,yes
Chandler,258421.00,110798.00,chandler.json,yes
Buffalo,252555.00,175031.00,buffalo.json,yes
North Las Vegas,252169.00,170118.00,north_las_vegas.json,yes
Gilbert,251335.00,110803.00,gilbert.json,yes
Winston Salem,247222.00,180101.00,winston_salem.json,yes
Chesapeake,245467.00,206671.00,chesapeake.json,yes
Irving,245165.00,5748832.00,irving.json,yes
Norfolk,242070.00,206672.00,norfolk.json,yes
Fremont,238281.00,111943.00,fremont.json,yes
Hialeah,234428.00,118853.00,hialeah.json,yes
Richmond,233796.00,3864712.00,richmond.json,yes
Boise City,231773.00,121360.00,boise_city.json,yes
Garland,231160.00,253954.00,garland.json,yes
Baton Rouge,225900.00,132206.00,baton_rouge.json,yes
Spokane,224652.00,237599.00,spokane.json,yes
Jeddah,3430000.00,1933393717.00,jeddah.json,no
Kuwait,4140000.00,544060405.00,kuwait.json,no
Doha,956000.00,27332.00,doha.json,yes
Medina,1100000.00,4571693347.00,medina.json,no
Amsterdam,822000.00,47811.00,amsterdam.json,yes
Algiers,0.00,157062.00,algiers.json,yes
Copenhagen,0.00,2192363.00,copenhagen.json,yes
Prague,0.00,439840.00,prague.json,yes
Chandigarh,0.00,1942809.00,chandigarh.json,yes
Amritsar,0.00,245772397.00,amritsar.json,no
Kolkata,0.00,245707150.00,kolkata.json,no
Baghdad,0.00,5638803.00,baghdad.json,yes
Amman,0.00,1643504896.00,amman.json,no
Dakar,0.00,27565045.00,dakar.json,no
Marrakesh,0.00,2799538.00,marrakesh.json,yes
Monaco,0.00,2220322.00,monaco.json,yes
Birmingham,0.00,162378.00,birmingham.json,yes
Leeds,0.00,118362.00,leeds.json,yes
Liverpool,0.00,172987.00,liverpool.json,yes
